Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.42329,Exact,0,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria,3B9TG,Eruca vesicaria (L.) Cav.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Brassiceae|Brassicinae|Eruca|Eruca vesicaria,
BestMatch,9.42329,Exact,0,Erysimum cheiri (L.) Crantz,Erysimum × cheiri (L.) Crantz,Erysimum × cheiri,3BBH8,Erysimum × cheiri (L.) Crantz,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Erysimeae|Erysimum|Erysimum cheiri,
BestMatch,9.42329,Exact,0,Exhalimolobos hispidulus (DC.) Al-Shehbaz & C.D.Bailey,Exhalimolobos hispidulus (DC.) Al-Shehbaz & C.D.Bailey,Exhalimolobos hispidulus,3DKXB,Exhalimolobos hispidulus (DC.) Al-Shehbaz & C.D.Bailey,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Halimolobeae|Exhalimolobos|Exhalimolobos hispidulus,
BestMatch,9.42329,Exact,0,Exhalimolobos weddellii (E.Fourn.) Al-Shehbaz & C.D.Bailey,Exhalimolobos weddellii (E.Fourn.) Al-Shehbaz & C.D.Bailey,Exhalimolobos weddellii,3DKXG,Exhalimolobos weddellii (E.Fourn.) Al-Shehbaz & C.D.Bailey,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Halimolobeae|Exhalimolobos|Exhalimolobos weddellii,
BestMatch,9.42329,Exact,0,Iberis amara L.,Iberis amara L.,Iberis amara,3P79B,Iberis amara L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Iberideae|Iberis|Iberis amara,
BestMatch,9.42329,Exact,0,Iberis semperflorens L.,Iberis semperflorens L.,Iberis semperflorens,3P7CM,Iberis semperflorens L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Iberideae|Iberis|Iberis semperflorens,
BestMatch,9.42329,Exact,0,Iberis umbellata L.,Iberis umbellata L.,Iberis umbellata,3P7D4,Iberis umbellata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Iberideae|Iberis|Iberis umbellata,
BestMatch,9.42329,Exact,0,Lepidium bipinnatifidum Desv.,Lepidium bipinnatifidum Desv.,Lepidium bipinnatifidum,6P99S,Lepidium bipinnatifidum Desv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium bipinnatifidum,
BestMatch,9.42329,Exact,0,Lepidium costaricense Thell.,Lepidium costaricense Thell.,Lepidium costaricense,6P8Z3,Lepidium costaricense Thell.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium costaricense,
BestMatch,9.42329,Exact,0,Lepidium didymum L.,Lepidium didymum L.,Lepidium didymum,6P8ZL,Lepidium didymum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium didymum,
